filing_date,num_purchases,num_sales,val_purchases,val_sales
2003-07-28,76,184,1960,137626
2003-07-29,70,272,6576,1548186
2003-07-30,75,267,7734,4148056
2003-07-31,120,344,282741,1929841
2003-08-01,88,266,13067,5303772
2003-08-04,132,358,16085,453804
2003-08-05,112,293,11051,827906
2003-08-06,135,250,20247,197414
2003-08-07,100,236,17003,147747
2003-08-08,120,221,35845,385159
2003-08-11,93,213,8240,256889
2003-08-12,87,262,9545,349052
2003-08-13,103,288,12101,482187
2003-08-14,78,283,13268,468022
2003-08-15,63,233,3770,386112
2003-08-18,86,324,10521,312361
2003-08-19,112,309,9291,250845
2003-08-20,71,422,4895,553973
2003-08-21,104,443,44388,870141
2003-08-22,135,416,67827,464671
2003-08-25,73,341,7621,205689
2003-08-26,90,301,26114,329233
2003-08-27,92,292,596531,294522
2003-08-28,83,336,16097,347326
2003-08-29,85,340,22219,289351
2003-09-02,110,348,2448339,394710
2003-09-03,98,416,20158,2491186
2003-09-04,75,400,40182,360895
2003-09-05,69,356,5290,689493
2003-09-08,90,276,6309,1349685
2003-09-09,68,356,4452,421245
2003-09-10,81,320,23411,495052
2003-09-11,61,254,8456,447400
2003-09-12,63,205,77754,85036
2003-09-15,72,251,94181,2363819
2003-09-16,57,247,16142,887702
2003-09-17,61,269,4052,439521
2003-09-18,48,223,47667,237255
2003-09-19,52,214,8233,147992
2003-09-22,80,219,179703,219120
2003-09-23,60,206,15191,571558
2003-09-24,52,192,8271,902007
2003-09-25,59,207,7461,1584827
2003-09-26,66,160,8892,83825
2003-09-29,68,170,10421,147881
2003-09-30,88,146,9621,2498169
2003-10-01,99,177,60717,284138
2003-10-02,147,250,13616,329745
2003-10-03,53,202,60774,165576
2003-10-06,66,155,27197,231459
2003-10-07,60,189,8079,316336
2003-10-08,55,164,8646,1115073
2003-10-09,65,177,54517,334639
2003-10-10,41,137,5147,614846
2003-10-14,50,330,2322418,862533
2003-10-15,43,192,7192,91020
2003-10-16,64,188,7767,150804
2003-10-17,53,160,27747,257992
2003-10-20,60,182,4602,510066
2003-10-21,74,232,277179,394421
2003-10-22,68,214,10704,137168
2003-10-23,65,187,40732,915395
2003-10-24,71,161,101800,164889
2003-10-27,84,233,52124,1115736
2003-10-28,77,323,9645,354765
