filing_date,num_purchases,num_sales,purchase_to_sale_ratio,filing_price,highest_price_52w,discount_percentage
2004-05-11,216,210,1.0285714285714285,1095.449951171875,1157.760009765625,5.381949460006305
2004-07-15,113,106,1.0660377358490567,1106.68994140625,1157.760009765625,4.411110068460003
2005-10-12,101,95,1.063157894736842,1177.6800537109375,1245.0400390625,5.410266596910711
2005-10-13,77,75,1.0266666666666666,1176.8399658203125,1245.0400390625,5.477741365935615
2005-10-14,110,107,1.02803738317757,1186.5699462890625,1245.0400390625,4.696241963227525
2005-10-17,94,73,1.2876712328767124,1190.0999755859375,1245.0400390625,4.412714591727644
2006-07-17,70,62,1.1290322580645162,1234.489990234375,1325.760009765625,6.884354548255321
2007-07-27,222,124,1.7903225806451613,1458.949951171875,1553.0799560546875,6.060860196916865
2007-07-30,150,114,1.3157894736842106,1473.9100341796875,1553.0799560546875,5.097607600069512
2007-07-31,206,195,1.0564102564102564,1455.27001953125,1553.0799560546875,6.297804317293848
2007-08-16,263,259,1.0154440154440154,1411.27001953125,1553.0799560546875,9.130884470602494
2007-08-17,295,254,1.1614173228346456,1445.93994140625,1553.0799560546875,6.898551116492863
2007-08-20,286,200,1.43,1445.550048828125,1553.0799560546875,6.923655592061233
2007-08-23,219,206,1.0631067961165048,1462.5,1553.0799560546875,5.832278995138739
2007-11-19,278,234,1.188034188034188,1433.27001953125,1565.1500244140625,8.426029634583033
2007-11-20,314,283,1.1095406360424027,1439.699951171875,1565.1500244140625,8.015210764805222
2007-11-23,73,49,1.489795918367347,1440.699951171875,1565.1500244140625,7.951319126022904
2007-11-26,268,203,1.3201970443349753,1407.219970703125,1565.1500244140625,10.090409944571352
2007-11-27,237,129,1.8372093023255813,1428.22998046875,1565.1500244140625,8.748045989813058
2007-11-28,233,226,1.0309734513274336,1469.02001953125,1565.1500244140625,6.141903548115154
2007-12-03,268,239,1.1213389121338913,1472.4200439453125,1565.1500244140625,5.924670416400809
2007-12-17,199,173,1.1502890173410405,1445.9000244140625,1565.1500244140625,7.61907792479146
2007-12-19,194,176,1.1022727272727273,1453.0,1565.1500244140625,7.1654488492914625
2007-12-20,151,138,1.0942028985507246,1460.1199951171875,1565.1500244140625,6.71054069313225
2007-12-21,241,188,1.2819148936170213,1484.4599609375,1565.1500244140625,5.155420388966869
2007-12-26,226,207,1.0917874396135265,1497.6600341796875,1565.1500244140625,4.312046077476879
2007-12-28,150,125,1.2,1478.489990234375,1565.1500244140625,5.536851600671954
2007-12-31,119,82,1.451219512195122,1468.3599853515625,1565.1500244140625,6.184074213507731
2008-01-02,171,151,1.1324503311258278,1447.1600341796875,1565.1500244140625,7.538573835983955
2008-01-07,158,132,1.196969696969697,1416.1800537109375,1565.1500244140625,9.517935557576607
2008-01-08,157,87,1.8045977011494252,1390.18994140625,1565.1500244140625,11.178486424859587
2008-01-10,121,116,1.043103448275862,1420.3299560546875,1565.1500244140625,9.252791496047836
2008-01-11,150,94,1.5957446808510638,1401.02001953125,1565.1500244140625,10.486534985312801
2008-01-14,113,108,1.0462962962962963,1416.25,1565.1500244140625,9.513466574541663
2008-01-15,135,80,1.6875,1380.949951171875,1565.1500244140625,11.768844543266423
2008-01-16,146,117,1.2478632478632479,1373.199951171875,1565.1500244140625,12.26400474382939
2008-01-18,115,80,1.4375,1325.18994140625,1565.1500244140625,15.33144294571028
2008-01-22,157,83,1.891566265060241,1310.5,1565.1500244140625,16.270007375771826
2008-01-23,122,66,1.8484848484848484,1338.5999755859375,1565.1500244140625,14.474653885843141
2008-01-25,107,91,1.1758241758241759,1330.6099853515625,1565.1500244140625,14.985147455772083
2008-01-28,162,82,1.975609756097561,1353.9599609375,1565.1500244140625,13.493279250059413
2008-02-19,253,174,1.4540229885057472,1348.780029296875,1565.1500244140625,13.824233571359326
2008-02-22,180,167,1.0778443113772456,1353.1099853515625,1565.1500244140625,13.54758558316992
2008-02-26,166,155,1.070967741935484,1381.2900390625,1565.1500244140625,11.747115770604372
2008-03-03,209,196,1.066326530612245,1331.3399658203125,1565.1500244140625,14.938507807344559
2008-03-06,214,213,1.0046948356807512,1304.3399658203125,1565.1500244140625,16.663582054467156
2008-03-10,249,159,1.5660377358490567,1273.3699951171875,1565.1500244140625,18.642304235730197
2008-03-11,231,174,1.3275862068965518,1320.6500244140625,1565.1500244140625,15.621505682276831
2008-03-13,213,183,1.1639344262295082,1315.47998046875,1565.1500244140625,15.951828262519449
2008-03-14,224,145,1.5448275862068965,1288.1400146484375,1565.1500244140625,17.698623483031785
2008-03-17,239,160,1.49375,1276.5999755859375,1565.1500244140625,18.435935490346882
2008-03-18,190,152,1.25,1330.739990234375,1565.1500244140625,14.976841230759488
2008-03-19,211,181,1.1657458563535912,1298.4200439453125,1565.1500244140625,17.0418155645242
2008-03-24,158,130,1.2153846153846153,1349.8800048828125,1565.1500244140625,13.753954328553236
2008-04-07,180,143,1.2587412587412588,1372.5400390625,1565.1500244140625,12.306167609949656
2008-04-15,105,94,1.1170212765957446,1334.4300537109375,1565.1500244140625,14.74107702803113
2008-04-29,153,144,1.0625,1390.93994140625,1565.1500244140625,11.130567695772848
2008-05-23,221,175,1.262857142857143,1375.9300537109375,1565.1500244140625,12.08957401856492
2008-06-11,178,160,1.1125,1335.489990234375,1565.1500244140625,14.673355946543476
2008-06-13,123,116,1.0603448275862069,1360.030029296875,1565.1500244140625,13.105452635058242
2008-06-20,130,72,1.8055555555555556,1317.9300537109375,1565.1500244140625,15.795289067939382
2008-06-23,131,115,1.1391304347826088,1318.0,1565.1500244140625,15.79082008490444
2008-06-24,146,111,1.3153153153153154,1314.2900390625,1565.1500244140625,16.0278555690197
2008-06-27,157,95,1.6526315789473685,1278.3800048828125,1565.1500244140625,18.322206501488996
2008-06-30,129,104,1.2403846153846154,1280.0,1565.1500244140625,18.218702358632534
2008-07-07,123,80,1.5375,1252.31005859375,1565.1500244140625,19.98785809286422
2008-07-08,76,61,1.2459016393442623,1273.699951171875,1565.1500244140625,18.621222802670065
2008-07-09,153,123,1.2439024390243902,1244.68994140625,1565.1500244140625,20.474719867686904
2008-07-10,95,80,1.1875,1253.3900146484375,1565.1500244140625,19.918857930717348
2008-07-14,123,67,1.835820895522388,1228.300048828125,1565.1500244140625,21.521896963969468
2008-07-15,77,71,1.0845070422535212,1214.9100341796875,1565.1500244140625,22.377406943177387
2008-07-16,112,100,1.12,1245.3599853515625,1565.1500244140625,20.43190966196472
2008-07-17,137,119,1.1512605042016806,1260.3199462890625,1565.1500244140625,19.47609324154838
2008-07-18,160,125,1.28,1260.6800537109375,1565.1500244140625,19.453085388227105
2008-07-21,123,84,1.4642857142857142,1260.0,1565.1500244140625,19.496535134278904
2008-07-25,146,107,1.3644859813084111,1257.760009765625,1565.1500244140625,19.639651781209512
2008-07-30,166,152,1.0921052631578947,1284.260009765625,1565.1500244140625,17.946523353478074
2008-08-01,182,146,1.2465753424657535,1260.31005859375,1565.1500244140625,19.476724982605674
2008-08-04,211,207,1.0193236714975846,1249.010009765625,1565.1500244140625,20.198703620554795
2008-08-15,200,183,1.092896174863388,1298.199951171875,1565.1500244140625,17.055877652503266
2008-08-20,214,184,1.1630434782608696,1274.5400390625,1565.1500244140625,18.567548210616852
2008-08-27,149,135,1.1037037037037036,1281.6600341796875,1565.1500244140625,18.11264005445764
2008-09-08,118,105,1.1238095238095238,1267.7900390625,1565.1500244140625,18.9988167723975
2008-09-15,157,119,1.319327731092437,1192.699951171875,1565.1500244140625,23.79644554403785
2008-09-16,138,113,1.2212389380530972,1213.5999755859375,1565.1500244140625,22.461108733632933
